numero_station,date_heure,co,no,no2,pm2_5,pst,pm10,o3,so2,bc1_370nm,bc6_880nm,Benzene,Toluene,Ethylbenzene,M P-Xylene,O-Xylene
3,2020-01-06 10:00,N/M,1.043131,2.598304,4.088366,N/M,N/M,29.421,0.035964,N/M,N/M,0.38018,0.334513,0.014999,0.096083,0
3,2020-01-06 11:00,N/M,0.854501,2.745433,4.556066,N/M,N/M,29.05529,0.028688,N/M,N/M,0.41018,0.327832,0,0.097318,0.013915
3,2020-01-06 12:00,N/M,0.775533,2.746736,5.203765,N/M,N/M,28.81129,0.008446,N/M,N/M,0.429277,0.35304,0,0.085179,0.001082
3,2020-01-06 13:00,N/M,0.96179,3.188878,4.744517,N/M,N/M,29.13739,0,N/M,N/M,0.419638,0.376055,0,0.109999,0
3,2020-01-06 14:00,N/M,0.930136,3.174163,5.961998,N/M,N/M,29.43635,0,N/M,N/M,0.439637,0.46018,0.013915,0.109637,0
3,2020-01-06 15:00,N/M,0.754036,3.021668,6.697133,N/M,N/M,28.97549,0,N/M,N/M,0.467137,0.49961,0.032319,0.116957,0
3,2020-01-06 16:00,N/M,1.393386,7.588097,10.16547,N/M,N/M,24.23092,0.760905,N/M,N/M,0.493916,0.55304,0.066776,0.186776,0.038736
3,2020-01-06 17:00,N/M,1.289942,12.32862,7.162273,N/M,N/M,21.2499,0.212824,N/M,N/M,0.668012,1.350401,0.199458,0.614401,0.223373
3,2020-01-06 18:00,N/M,0.832939,12.85286,9.8287,N/M,N/M,20.32806,0.112953,N/M,N/M,0.9135556,11.08667,0.2093333,0.7811111,0.2477778
3,2020-01-06 19:00,N/M,1.087136,14.25313,12.41453,N/M,N/M,18.31042,0.079245,N/M,N/M,0.75911,4.458471,0.244123,0.815513,0.264151
3,2020-01-06 20:00,N/M,1.254024,19.59128,18.67346,N/M,N/M,11.85838,0.033752,N/M,N/M,0.873236,3.799012,0.364665,1.231776,0.417679
3,2020-01-06 21:00,N/M,3.33254,25.73647,21.45507,N/M,N/M,6.430013,0.006529,N/M,N/M,2.119111,11.51142,0.542472,2.249027,0.639971
